name;type;country;lat;lng;cityDesc
KOUVOLA;city;FI;60.8681;26.7042;Kouvola est une ville du sud-est de la Finlande, à 134 km de la capitale Helsinki.
KRAMA;ikea;;;;
KRAMFORS;both;SE;62.9248;17.7963;Kramfors est une ville de Suède, chef-lieu de la commune de Kramfors dans le comté de Västernorrland.
KROBY;ikea;;;;
KRYSSBO;ikea;;;;
KULLEN;both;SE;57.6724;12.35;
KUNGSHOLMEN;city;SE;59.3306;18.0417;Kungsholmen est un des districts du centre-ville de Stockholm en Suède.
KUOPIO;city;FI;62.8925;27.6783;Kuopio est une ville du centre-est de la Finlande.
KVARNSTEN;ikea;;;;
KVIBY;ikea;;;;
KVISSEL;both;DK;57.4708;10.4106;
KÅRABODA;ikea;;;;
LADE;ikea;;;;
LAGAN;both;SE;56.9156;13.9916;Lagan est une localité de Suède dans la commune de Ljungby située dans le comté de Kronoberg.
LAHTI;city;FI;60.9804;25.655;Lahti est une ville et capitale de la région Päijät-Häme en Finlande comptant 121 337 habitants située au bord du lac Vesijärvi.
LANNI;ikea;;;;
LAPPEENRANTA;city;FI;61.0583;28.1861;Lappeenranta est une ville située sur les rives du lac Saimaa dans le sud-est de la Finlande, à environ 20 km de la frontière avec la Russie.
LAUKVIK;both;NO;68.3881;14.4177;Laukvika est une localité du comté de Nordland, en Norvège.
LEGYM;ikea;;;;
LEIRVIK;both;NO;61.1367;5.3472;Leirvik est une ville norvégienne située sur l’ile et la kommune de Stord, dans le Hordaland.
LEKSVIK;both;NO;63.6727;10.6232;Leksvik est une ancienne commune norvégienne située dans le comté de Trøndelag.
LEN;ikea;;;;
LERBERG;both;NO;59.7764;9.9212;
LERBÄCK;both;SE;58.9489;15.0444;
LERSTA;ikea;;;;
LEVANGER;both;NO;63.7464;11.2996;Levanger est une ville et une commune norvégienne située dans le comté de Trøndelag.
LIATORP;both;SE;56.664;14.2699;Liatorp est une localité de Suède dans la commune d'Älmhult située dans le comté de Kronoberg.
LILLABO;ikea;;;;
LILLEBY;both;SE;57.74;11.796;
LILLESAND;both;NO;58.2494;8.3773;Lillesand est une kommune portuaire norvégienne située dans le comté d’Agder et la région du Sørlandet.
LILLÅNGEN;ikea;;;;
LINDSDAL;both;SE;56.732;16.2963;Lindsdal est une ville du Comté de Kalmar en Suède.
LINDVED;both;DK;55.7925;9.5797;
LINKÖPING;city;SE;58.4094;15.6257;Linköping, est la cinquième ville de Suède avec 164 473 habitants.
LINNARP;ikea;;;;
LJUSDAL;both;SE;61.8306;16.0926;Ljusdal est la localité principale et le siège de la commune de Ljusdal dans le comté de Gävleborg, en Suède.
LJUV;ikea;;;;
LOKKA;both;FI;67.8182;27.7394;Le lac Lokka est un lac de barrage situé sur la Luiro dans la municipalité de Sodankylä, dans la région de Laponie, en Finlande.
LONEVÅG;both;NO;60.5256;5.4956;
LOSSNEN;ikea;;;;
LUDVIG;ikea;;;;
LUND;city;SE;55.7083;13.1992;Lund est une ville située au sud-ouest de la Scanie, à l'extrême sud de la Suède.
LUNTA;ikea;;;;
LUSY;ikea;;;;
LYCKSELE;both;SE;64.5964;18.6753;La commune de Lycksele est une commune suédoise du comté de Västerbotten.
LYKTA;ikea;;;;
LÄTT;ikea;;;;
LÖV;ikea;;;;
MAGNIFIK;ikea;;;;
MALMA;ikea;;;;
MALMÖ;city;SE;55.5833;13;Malmö est une ville à l'extrême sud de la Suède.
MANDAL;ikea;;;;
MANGER;both;NO;60.6414;5.0414;Manger est un village de Norvège dans le Vestland, centre administratif de Radøy.
MARIEBERG;both;SE;59.3283;18.0186;Marieberg est un quartier du district de Kungsholmen de Stockholm en Suède.
MARIUS;ikea;;;;
MATA;ikea;;;;
MEDALJ;ikea;;;;
MELBU;both;NO;68.5025;14.7996;Melbu est une localité de l'île d'Hadseløya dans le comté de Nordland, en Norvège.
MELDAL;both;NO;63.0469;9.7133;Meldal est une ancienne commune norvégienne située dans le comté de Trøndelag.
MELLTORP;both;SE;57.5625;12.5667;
METRIK;ikea;;;;
MIKKELI;city;FI;61.6875;27.2736;Mikkeli est une ville finlandaise, capitale de la région de Savonie du Sud et de la province de Finlande orientale.
MINDE;both;NO;60.359;5.3441;Minde est une freguesia portugaise située dans le district de Santarém.
MINNA;ikea;;;;
MIXTUR;ikea;;;;
MJÄLLBY;both;SE;56.0477;14.6838;Mjällby est une localité suédoise située dans la commune de Sölvesborg dans la province de Blekinge.
MJÖNÄS;both;SE;56.2355;14.3155;Mjönäs est une localité de Suède dans la commune de Hagfors située dans le comté de Värmland.
MOSES;ikea;;;;
MOSJÖ;both;SE;63.3756;17.9066;
MULA;ikea;;;;
MYKEN;both;NO;66.75;12.4833;Myken est un village de pêcheurs de l'île Sjuløya sur l'archipel de Myken dans le comté de Nordland, en Norvège.
MYS;ikea;;;;
MÅNSTAD;both;SE;57.6077;13.3547;
MÅSNAN;ikea;;;;
MÖRKER;ikea;;;;
MÖRRUM;both;SE;56.1917;14.7596;Mörrum est une localité de la commune de Karlshamn, dans le comté de Blekinge, en Suède.
NEGLINGE;both;SE;59.2885;18.2921;
NEKTARIN;ikea;;;;
NJUTA;ikea;;;;
NORBO;ikea;;;;
NORDANÖ;both;SE;60.1481;16.2373;Nordanö est une localité de Suède dans la commune d'Avesta située dans le comté de Dalécarlie.
NORNA;ikea;;;;
NORRA INNERSTADEN;city;SE;59.3444;18.0778;Norra innerstaden est un des 11 districts de la ville de Stockholm en Suède,
NORRESKOG;both;SE;56.1064;14.4696;
NORRKÖPING;city;SE;58.5793;16.1493;Norrköping est une ville du comté d'Östergötland, en Suède, et le chef-lieu de la commune de Norrköping.
NOSTALGISK;ikea;;;;
NYSTED;both;DK;54.6627;11.7331;Nysted est une ville danoise dépendant de la municipalité de Guldborgsund, dans la région du Sjælland, au sud du Danemark.
NYTTIG;ikea;;;;
NÄSBY;ikea;;;;
NÄSSJÖ;both;SE;57.6529;14.7048;Nässjö est une ville de Suède, chef-lieu de la commune de Nässjö dans le comté de Jönköping.
NÄSUM;both;SE;56.174;14.5052;Näsum est une localité suédoise dans la commune de Bromölla en Scanie.
OBSERVATÖR;ikea;;;;
ODENSE;city;DK;55.4;10.3833;Odense, parfois francisée en Odensée, est une commune de la région du Danemark du Sud dont elle est la capitale.
OLLE;ikea;;;;
OPTIMAL;ikea;;;;
ORE;both;DK;55.5061;10.0357;Ore est une commune française située dans le sud-ouest du département de la Haute-Garonne, en région Occitanie.
ORRLÖT;both;SE;59.1603;17.5508;
ORÖD;ikea;;;;
OSLO;city;NO;59.9133;10.7389;Oslo est la capitale de la Norvège.
OULU;city;FI;65.0142;25.4719;Oulu est une ville de Finlande située sur la côte nord-est du golfe de Botnie, en Ostrobotnie du Nord, dont elle est la capitale.
PARK;ikea;;;;
PAX;ikea;;;;
